id,weight,region,type,tenure,income,hardships,gender,move_date,pretenure,forced_move,move_to_buy
03018,558.659,Non CMA,01,owned,62500,very easy,male,5-10,own,no,no
03047,20.163,Non CMA,03,rented,36000,difficult,female,4-5,rent,no,no
03059,477.079,Vancouver,06,rented,70000,neither,female,2-3,rent,yes,no
03061,210.146,Vancouver,06,owned,120000,easy,female,10+,rent,no,yes
03073,486.318,Non CMA,01,owned,72500,neither,female,5-10,own,no,no
03080,108.443,Non CMA,01,rented,35000,difficult,female,10+,rent,no,no
03088,88.951,Non CMA,01,owned,82500,difficult,male,10+,own,no,no
03104,120.888,Other CMA,03,rented,34000,neither,female,10+,rent,no,no
03122,23.162,Non CMA,01,rented,135000,neither,female,10+,own,yes,no
03128,44.032,Non CMA,06,rented,29000,neither,male,3-4,rent-free,no,no
03130,640.543,Vancouver,01,owned,50000,difficult,female,10+,own,no,no
03132,241.162,Non CMA,02,owned,72500,very easy,female,2-3,own,no,no
03144,988.504,Vancouver,01,rented,47000,neither,male,5-10,rent,no,no
03145,1337.201,Vancouver,06,rented,10250,difficult,male,10+,rent,yes,no
03152,66.858,Other CMA,04,owned,100000,neither,male,1-2,own,no,no
03170,980.942,Vancouver,06,owned,150000,neither,female,5-10,rent-free,no,yes
03198,144.866,Non CMA,06,rented,42000,neither,female,5-10,rent,no,no
03202,196.857,Vancouver,06,rented,105000,easy,male,10+,rent,no,no
03204,779.608,Non CMA,01,owned,90000,neither,male,10+,rent,no,no
03214,764.128,Non CMA,06,owned,22000,easy,female,4-5,rent-free,no,no
03220,85.779,Other CMA,05,owned,115000,easy,male,4-5,own,no,no
03223,761.542,Non CMA,02,owned,17500,easy,female,10+,rent,no,yes
03229,305.005,Vancouver,05,rented,170000,neither,male,2-3,rent,no,no
03230,126.312,Non CMA,06,rented,23000,neither,female,5-10,rent,yes,no
03248,695.016,Non CMA,01,owned,67500,neither,male,5-10,rent,no,yes
03257,365.632,Vancouver,06,rented,55000,neither,male,3-4,rent,no,no
03278,72.257,Non CMA,01,owned,20000,difficult,male,5-10,rent,no,no
03290,830.971,Vancouver,03,owned,135000,very easy,female,5-10,own,no,no
03313,582.537,Vancouver,02,owned,220000,easy,male,4-5,own,no,no
03325,172.653,Vancouver,06,rented,50000,difficult,female,5-10,rent,no,no
03340,111.796,Vancouver,06,rented,75000,very easy,female,10+,rent,no,no
03349,14.121,Non CMA,06,rented,20000,difficult,male,2-3,rent,no,no
03352,40.336,Other CMA,03,rented,27000,difficult,female,3-4,rent,no,no
03398,230.968,Other CMA,01,owned,125000,neither,female,10+,rent,no,yes
03400,448.007,Vancouver,06,owned,150000,neither,female,10+,rent,no,yes
03404,900.594,Non CMA,01,owned,55000,neither,male,10+,own,no,no
03419,115.074,Other CMA,06,rented,77500,difficult,female,5-10,rent,yes,no
03430,44.032,Non CMA,05,rented,26000,difficult,male,2-3,rent,no,no
03447,729.227,Non CMA,01,owned,50000,very difficult,female,1-2,own,no,no
03448,140.556,Other CMA,06,owned,27000,easy,female,10+,rent,no,yes
03466,40.768,Other CMA,05,rented,23000,difficult,male,10+,rent,no,no
03473,326.101,Non CMA,01,rented,80000,neither,female,1-2,rent,no,no
03475,34.334,Other CMA,03,rented,52500,easy,female,2-3,rent,yes,no
03478,86.241,Other CMA,01,rented,140000,neither,male,10+,rent,no,no
03497,970.798,Vancouver,06,rented,62500,difficult,female,5-10,rent-free,no,no
03498,177.788,Other CMA,01,owned,110000,neither,female,10+,rent,no,yes
03501,324.011,Vancouver,05,rented,28000,very easy,female,<1,rent,no,no
03507,709.372,Vancouver,05,owned,105000,easy,female,2-3,own,no,no
03511,135.565,Vancouver,03,rented,7500,very difficult,female,10+,rent,no,no
03514,625.798,Non CMA,01,owned,90000,easy,female,10+,own,no,no
